,generational_distance,hypervolume,nfe
0,inf,0.0,0
1,0.6640825736438598,0.003127407805131815,100
8,0.28962057850127076,0.059460239698413735,2600
19,0.22727795625250546,0.09074536393844554,5100
20,0.18335342386565215,0.142641398988559,7600
2,0.17650804789796964,0.17851852201739157,10414
3,0.1453532472044966,0.220667667031876,13174
4,0.13777417452538132,0.22625037619959967,15934
5,0.1372937135549391,0.23423834449383918,18694
6,0.13612590691336465,0.24220861868521434,21454
7,0.13083605121207878,0.24647719558411998,24214
9,0.13300390275454194,0.24908786646599046,26974
10,0.12894207444132308,0.25378385535947595,29734
11,0.12737381594549058,0.2557576834820945,32494
12,0.12815551341593331,0.25531141880983765,35254
13,0.12409545785569016,0.25791612656941004,38014
14,0.12376895235828145,0.26135627103337883,40774
15,0.12341876055872601,0.2610090235791739,43534
16,0.12257627847316793,0.2610564968273119,46294
17,0.1164697347988721,0.26179941465705325,49054
18,0.11724963717298914,0.2622676450177268,50158
